#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	460	445	96.74	0	0.00	1	0.22	0	0.00	14	3.04
Ecoli	460	460	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	460	460	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	460	460	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	460	455	98.91	0	0.00	0	0.00	0	0.00	5	1.09
Bacteria_24k	460	448	97.39	0	0.00	0	0.00	1	0.22	11	2.39
Protists_1k	460	442	96.10	2	0.43	2	0.43	0	0.00	14	3.04
Viruses	460	449	97.61	0	0.00	0	0.00	1	0.22	10	2.17
Fungi_RefSeq_release	460	446	96.95	0	0.00	0	0.00	1	0.22	13	2.83
Coral	460	447	97.17	1	0.22	0	0.00	1	0.22	11	2.39
Bird	460	449	97.61	0	0.00	0	0.00	0	0.00	11	2.39
Plant	460	448	97.39	0	0.00	0	0.00	1	0.22	11	2.39

%Hit_no_genomes: 95.43
