#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	39392776	38283214	97.19	35179	0.09	8292	0.02	103408	0.26	962683	2.44
Ecoli	39392776	39392253	100.00	0	0.00	0	0.00	112	0.00	411	0.00
PhiX	39392776	39392776	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	39392776	39392720	100.00	0	0.00	0	0.00	2	0.00	54	0.00
Vectors	39392776	39224544	99.57	27	0.00	6	0.00	4030	0.01	164169	0.42
Bacteria_24k	39392776	38410736	97.51	115027	0.29	172442	0.44	60465	0.15	634106	1.61
Protists_1k	39392776	37715217	95.73	142390	0.36	207546	0.53	88697	0.23	1238926	3.15
Viruses	39392776	38816584	98.54	934	0.00	330	0.00	44964	0.11	529964	1.35
Fungi_RefSeq_release	39392776	38245847	97.09	25550	0.06	6817	0.02	116806	0.30	997756	2.53
Coral	39392776	38741614	98.35	2216	0.01	760	0.00	64484	0.16	583702	1.48
Bird	39392776	38532467	97.82	13394	0.03	2028	0.01	107786	0.27	737101	1.87
Plant	39392776	38654512	98.13	5332	0.01	796	0.00	74037	0.19	658099	1.67

%Hit_no_genomes: 94.67
